CATEGORY,CND CODE,LEVEL,BOTTOM LEVEL YES/NO,CATEGORY DESCRIPTION ITALIAN,CND CODE DESCRIPTION ITALIAN,CATEGORY DESCRIPTION,CND CODE DESCRIPTION
A,A,1,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA","DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA","DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION"
A,A01,2,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES
A,A0101,3,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI PER INFUSIONE E PRELIEVO,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",NEEDLES FOR INFUSION AND SAMPLING
A,A010101,4,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",HYPODERMIC NEEDLES
A,A01010101,5,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI PER SIRINGA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",HYPODERMIC SYRINGE NEEDLES
A,A0101010101,6,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI PER SIRINGA CON SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","HYPODERMIC SYRINGE NEEDLES, WITH SAFETY SYSTEMS "
A,A0101010102,6,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI PER SIRINGA SENZA SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","HYPODERMIC SYRINGE NEEDLES, W/O SAFETY SYSTEMS"
A,A01010102,5,NO,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI PER PENNA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION",HYPODERMIC PEN NEEDLES
A,A0101010201,6,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI PER PENNA CON SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","HYPODERMIC PEN NEEDLES, WITH SAFETY SYSTEMS"
A,A0101010202,6,YES,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",AGHI IPODERMICI PER PENNA SENZA SISTEMA DI SICUREZZA,"DEVICES FOR ADMINISTRATION, WITHDRAWAL AND COLLECTION","HYPODERMIC PEN NEEDLES, W/O SAFETY SYSTEMS"
